# Machine-readable critical-flows matrix — one row per README matrix flow.
# Columns: id	title	layers	oracle	status. Kept in sync with README.md by
# test-inventory.py::test_matrix_tsv_matches_readme — edit BOTH or the suite fails.
id	title	layers	oracle	status
SS-05	Renew now (manual, shopper)	D+A	comparable	PENDING (Layer A runner-verified PASS 2026-07-17: dual-store ordinary Renew now used the preselected saved Visa 4242, created exactly one processing USD 20.00 early-renewal order and one succeeded/paid/captured provider charge per store, advanced the next-payment date exactly one month, persisted the new Related orders row, and left local/provider PaymentMethod inventories unchanged; target missing product placeholder is cosmetic; the reference marker window preserves exact harness-attributed WP-CLI diagnostics and does not support a blanket log-clean claim; Layer D NOT YET WIRED; run `20260717T130442Z-85447-partial`)
SS-06	Cancel + re-subscribe	D+A	comparable	PENDING
SS-07	Coupon (signup/one-off/recurring)	D	comparable	PENDING
SS-08	Free-trial subscription	D+A	comparable	PENDING
SS-09	Multiple subscriptions one purchase	D	comparable	PENDING
SS-10	SEPA-token renewal after cutover	D+A	target-only	TARGET-ONLY (parity not comparable)
MS-01	Create subscription product	D+A	comparable	PENDING
MS-02	Purchase (merchant view)	D	comparable	PENDING
MS-03	Suspend + resume	D+A	comparable	PENDING
MS-04	Promote w/ coupon	D	comparable	PENDING
MS-05	Renew automatically (scheduled)	D	comparable	PENDING
MS-06	Renew manually (admin)	D+A	comparable	PENDING
MS-07	Admin change payment method	D+A	comparable	PASS (runner-verified 2026-07-14: admin browser Layer A both stores; renewal D layer provider-reconciled with token-id-pinned gate run + chosen-token binding artifact; run archived under evidence/runs/)
MO-01	Manual capture (order)	D+A	comparable	PASS (runner-verified 2026-07-16: Layer D dual-store provider-backed on-hold/requires_capture → processing/succeeded full-capture parity with clean logs; Layer A dual-store checkout and merchant Capture charge UX PASS, target settings-label divergence cosmetic; runs 20260716T132023Z-19450-partial, 20260716T141044Z-84944-partial)
MO-02	Manual capture — Uncaptured tab	D+A	comparable	PENDING (Layer D runner-verified PASS 2026-07-16: dual-store exact authorizations-list inclusion → row-route capture → list removal/provider/order/note parity with clean logs; Layer A runner-verified reference PASS / target FAIL — UX: native omits the non-zero Uncaptured navigation badge and renders the row's order number as plain text instead of the required link, while exact capture, success feedback, and financial state pass; runs 20260716T150009Z-83633-partial, 20260716T164405Z-71705-partial)
MO-03	Manual capture — payment-details page	D+A	comparable	PENDING
MO-04	Full refund	D+A	comparable	PENDING
MO-05	Partial refund (one + several)	D+A	comparable	PENDING
MO-06	Refund failure handling	D	comparable	PENDING
MA-01	Open admin as non-admin	D	comparable	PENDING
MA-02	View account balances	A (+D)	comparable	PENDING
MA-03	View transactions	D+A	comparable	PENDING
MA-04	Filter transactions	D+A	comparable	PENDING
MA-05	Search transactions	D+A	comparable	PENDING
MA-06	Export transactions CSV	D	comparable	PENDING
MA-07	View transaction details	A (+D)	comparable	PENDING
MA-08	View payouts (+ details)	D+A	comparable	PENDING
MA-09	Large-dataset perf	D	comparable	PASS (runner-verified 2026-07-16: exactly 500 unique rows/store; exhaustive pagination and exact charge/date filters; all native measured calls 0.79–0.93x the reference median; clean logs; run 20260716T100225Z-76348-partial)
MA-10	Localized WooPayments order notes	D	comparable	BLOCKED (runner-verified 2026-07-16: reference same-note-family oracle unwired; native German charge/refund/dispute implementation probe passed with provider-bound merchant-note markers and clean logs, but the installed WooCommerce release catalog leaves all three exact message IDs in English; run 20260716T105904Z-7160-partial)
MA-11	Plugin-active WooPayments settings screen	A (+D)	comparable	PASS
MD-01	Created: note + on-hold + notify	D+A	comparable	PENDING
MD-02	Save evidence	A (+D)	comparable	PENDING
MD-03	Winning dispute	D	comparable	PENDING
MD-04	Losing dispute	D	comparable	PENDING
ON-01	Onboard via WC Settings (NOX), test→live	A	comparable	PENDING (KYC)
ON-02	Onboard via Launch Your Store (NOX)	A	comparable	PENDING (KYC)
ON-03	Manual install + setup	A	comparable	PENDING
ON-04	Plugin update via plugins page	D+A	comparable	PENDING
MC-01	Set up	D+A	comparable	PENDING
MC-02	Edit settings	D	comparable	PENDING
MC-03	Add switcher widget	A	comparable	PENDING
MC-04	Block widget (editor)	A	comparable	PENDING
MC-05	MC onboarding/setup task	A	comparable	PENDING
MC-06	Automatic rates refresh	D	comparable	PENDING
MCS-01	Shopper checkout — guest, selected currency	D+A	comparable	PENDING
MCS-02	Shopper checkout — logged-in, selected currency	D+A	comparable	PENDING
EC-01	PRB from product page	A	comparable	BLOCKED (real card)
EC-02	PRB from cart	A	comparable	BLOCKED (real card)
EC-03	PRB with 3DS card	A	comparable	BLOCKED (real card)
MU-01	Network install + activate	D	comparable	PENDING
MU-02	Manual install (multisite)	D	comparable	PENDING
MU-03	Plugin update (multisite)	D+A	comparable	PENDING
MU-04	Card checkout primary + secondary	D+A	comparable	PENDING
