id	primary_wave	supplemental_wave	mutation_class	release_evidence
MS-05	3	0	ordinary-provider-async	Exactly one scheduled renewal, email/notes, active status and next date
MS-06	3	0	ordinary-provider	Admin process renewal pays once while preserving future schedule
MS-07	3	0	ordinary-provider	Admin token fields save exact method and one renewal uses it
MO-01	3	0	ordinary-provider	One authorization and full capture from order, exact status/amount/notes
MO-02	3	0	ordinary-provider	Authorization list inclusion, linked row, capture and removal
MO-03	3	0	ordinary-provider	Reach detail from row, capture there, exact cleared authorization state
MO-04	3	0	ordinary-provider	One full refund with local/provider ID, amount, note and detail joins
MO-05	3	0	ordinary-provider	Two partial refunds with cumulative amount, status, IDs, notes and detail joins
MO-06	3	0	ordinary-provider-failure	Provider refund rejection surfaced with no phantom local refund
MA-01	2	0	local-reversible	Dedicated customer/session capability denial/admission and no financial payload leak
MA-02	1	0	read-only	Exact REST-backed Total/Available and native Pending presentation
MA-03	3	1	read-only-on-fresh-fixtures	Fresh campaign transactions populate columns and row links
MA-04	3	1	read-only-on-fresh-fixtures	Filters narrow exact fresh transaction set
MA-05	3	1	read-only-on-fresh-fixtures	Search and autocomplete return exact fresh transaction
MA-06	3	1	read-only-on-fresh-fixtures	CSV export contains exact fresh rows and values
MA-07	3	1	read-only-on-fresh-fixtures	Detail card graphic, amounts, timeline, identifiers and order link
MA-08	4	1	high-consequence-payout	Fresh payout list/detail and exact provider facts
MA-09	1	0	read-only	Existing stable 500-row minimum ledger, pagination/filter timing and unchanged digest
MA-10	4	5	high-consequence-translation	Comparable localized charge/refund/dispute note families with installed catalog
MA-11	6	0	cutover-local	Plugin-active settings usable without native collision, exact ownership restoration
MD-01	4	0	high-consequence-dispute	Fresh provider dispute, on-hold order, note, notification and financial joins
MD-02	4	0	high-consequence-single-save	One draft evidence save on MD-01 dispute with request and delayed persistence witnesses
MD-03	4	0	high-consequence-single-submit	Fresh dispute, exactly one winning submission, terminal won and reinstatement joins
MD-04	4	0	high-consequence-single-submit	Fresh dispute, exactly one losing submission, terminal lost and chargeback joins
ON-01	5	6	external-kyc	Settings entry, test onboarding, live handoff and externally completed KYC
ON-02	5	6	external-kyc	Launch Your Store entry, test onboarding/task completion and external live KYC
ON-03	6	5	install-onboarding	Manual install and setup without duplicate ownership or lost configuration
ON-04	6	0	install-update	Plugin update preserves activation, owner, settings and checkout
MC-01	2	0	local-reversible	Enable EUR/GBP, rates, persistence, storefront and exact restoration
MC-02	2	0	local-reversible	Edit configured currencies/settings with precise persistence and restoration
MC-03	2	0	local-reversible	Classic widget insertion, switching behavior and restoration
MC-04	2	0	local-reversible	Block editor insertion, live preview, storefront switching and restoration
MC-05	2	0	local-reversible	Multi-currency onboarding task completion and configured state
MC-06	2	0	provider-read-local-reversible	Fresh automatic rates, cache timestamps and cross-store comparison without provider write
MCS-01	3	2	ordinary-provider	Fresh guest GBP shop/cart/Blocks/receipt, order meta and provider GBP joins
MCS-02	3	2	ordinary-provider	Fresh logged-in currency persistence, saved method and exact converted order/provider joins
EC-01	5	3	external-wallet	Product-page payment request button and wallet-sheet payment
EC-02	5	3	external-wallet	Cart payment request button and wallet-sheet payment
EC-03	5	3	external-wallet	Wallet 3DS challenge and paid order without duplicate charge
MU-01	6	0	multisite-prerequisite	Network activation exposes one owner on existing and new subsites
MU-02	6	0	multisite-prerequisite	Per-site activation isolation and retained site-level control
MU-03	6	0	multisite-prerequisite	Network update keeps all sites on one version with usable admin/checkout
MU-04	6	3	multisite-provider	Independent primary/secondary checkout with no cross-site order or transaction leak
